content,sentimen,aspek
Simpel ga ribet,Positive,Tampilan
Lebih praktis simpel â¤ï¸,Positive,Tampilan
"Sangattt cepat,mudahh keren deh pokonya",Positive,Tampilan
Kerennn BNI Wondr,Positive,Tampilan
"simpel dan cepat, cocok buat transaksi sehari-hari.",Positive,Tampilan
"Keren Bgt, download dan daftarnya gampang dan ngga pake ribet, trx juga makin mudah dan tnya banyak bgt promonyaa...love you Wondr by BNI",Positive,Tampilan
"Mobile banking lama sudah keren dan bagus, yg terbaru ini lebih bagus dan easy to use banget guys ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»",Positive,Tampilan
Tampilannya bagus dan gampang digunakan. Untuk pembayaran sehari hari juga gampang. Slain itu juga bisa atur keuangan juga. The besstt,Positive,Tampilan
"Lebih cepat, lebih mudah, lebih simple",Positive,Tampilan
"Bayar QRIS di Wondr cepet banget tanpa harus masuk ke aplikasinya, aktivasi juga gampang bgt krn udah jadi nasabah BNI, kecepatan respon aplikasi juga cepet, tampilan lucu dan aplikasinya colorful!",Positive,Tampilan
"Aplikasinya sangat bagus, simple dan mudah dimudahkan",Positive,Tampilan
Penggunaan simple dan membantu proses transaksi,Positive,Tampilan
"Fitur yang ada dalam transaksi cukup lengkap, sangat membantu dalam memudahkan transaksi sehari-hari. Tampilan dalam aplikasi pun mudah untuk dimengerti dan digunakan",Positive,Tampilan
Tampilan menarik dan akses cpt,Positive,Tampilan
"Keren, suka banget pake wondr lebih mudah dan cepat ðŸ‘ðŸ‘ðŸ‘",Positive,Tampilan
Lebih cepat .banyak fitur2 menarik ðŸ˜,Positive,Tampilan
UI mudah digunakan serta banyak peningkatan kualitas dari mobile banking sebelumnya.,Positive,Tampilan
"Fresh banget tampilannya, transaksi apapun jadi sangat cepat dan mudah!!",Positive,Tampilan
Ui designnya sangat intuitive anak muda dan gen z banget user friendly,Positive,Tampilan
UI nya cakep,Positive,Tampilan
Tampilan bagus & mudah digunakan,Positive,Tampilan
"aplikasi yg simpel, cepat, fitur agar diperbanyak termasuk tarik tunai mobile",Positive,Tampilan
"Sangat memudahkan sekali, aplikasi Wondr by BNI jauh lebih cepat dibandingkan aplikasi sebelumnya. Keren bgt!",Positive,Tampilan
bener bener simple dan cepet,Positive,Tampilan
Tampilan lebih fresh. Fitur QRISnya lebih cepat dan mudah digunakan.,Positive,Tampilan
Transaksinya lebih cepat dan mudah karena tampilannya yang mudah dipahami dan bertransaksi pun sudah menggunakan pin,Positive,Tampilan
"Pake qris sekarang ga pake ribet lagi, tampilannya juga eye catching âœ¨",Positive,Tampilan
"Tampilan aplikasi colorful dan menarik, jadi experience yang kita dapet lebih menyenangkan ketika melakukan transaksiðŸ‘",Positive,Tampilan
Pembayaran jadi lebih mudah dan cepat. UI juga sangat mudah dipahami,Positive,Tampilan
Tampilan aplikasinya lebih edgy dan warna-warnanya menarik,Positive,Tampilan
Dengan adanya aplikasi wondr by bni tampilanya fresh dengan ui/ux yang baru. Transaksi juga lebih mudah dengan inputan pin.,Positive,Tampilan
"UI nya sangat fresh, memudahkan saya untuk melakukan transaksi",Positive,Tampilan
"pake wondr by BNI bikin transaksi jadi mudah, cepat, tepat dan anti ribet! 
 kereeeen BNIðŸ‘ðŸ»",Positive,Tampilan
"Tampilan menarik, mutasi transaksi jelas dan detail , markotop",Positive,Tampilan
Fitur di Wondr sangat menarik dan tampilan UI nya bagus. Sangat cepat juga aplikasinya,Positive,Tampilan
"Tampilannya lebih informatif dan semakin mudah untuk melakukan fitur transaksi yg tidak menggunakan login seperti bayar qris, topup ewallet dll",Positive,Tampilan
"Tampilan lebih user friendly, enak dilihat dan fiturnya lengkap, sekarang bisa langsung cek mutasi transaksi semua rekening termasuk kartu kredit.",Positive,Tampilan
"Tampilannya lucu menarik, seamless pembayaran qris langsung tinggal scan, bisa ngetrace pemasukan dan pengeluaran juga, terbaik pokoknya ðŸ«¶ðŸ»",Positive,Tampilan
"Load aplikasi cepet bgt, UI juga bagus dan clean, transaksi jadi semakin mudah. Goodjob BNI",Positive,Tampilan
"Fitur insight di wondr by BNI tuh keren banget. Aku jadi lebih gampang ngelacak pengeluaran dan mengatur keuangan. Selain itu, fiturnya lengkap dan gampang dipake.",Positive,Tampilan
"Digital banking app yg sangat membantu dalam kegiatan sehari-hari dgn UI UX yg baik. 
 Sudah mencoba juga remittance function utk transfer ke rekening teman di US, berhasil dgn baik. Ditunggu fitur2 baru-nya dari Wondr.",Positive,Tampilan
Aplikasinya simple dan mudah dipakai,Positive,Tampilan
"UI/UX nya wondr lebih menarik dan lebih fresh, easy to use dan yang paling penting tidak lemot.",Positive,Tampilan
Semua fitur sangat mudah digunakan dan sangat cepat. KerenðŸ‘,Positive,Tampilan
"Sangat berguna untuk memenuhi transaksi harian, easy to use, menarik sekali.",Positive,Tampilan
Tampilan lebih kekinian dan lebih mudah dipakai dr aplikasi sebelumnya,Positive,Tampilan
"ini mbank yg step transaksinya paling sat set, kereeen",Positive,Tampilan
Simple mudah dan aman,Positive,Tampilan
"Keluar aplikasi kadang tombol keluar tidak respon
 Menu simple dibandingkan dengan yang lama.. semoga ada menu2 lain agar tambah lebih mudah",Positive,Tampilan
"Penggantian aplikasi hanya fokus pada tampilan tapi tidak mempertimbangkan kebermanfaatan. Banyak menu yg belum ada, salah satu fungsi penting mobile banking itu tarik/stor tunai tanpa kartu, tanpa itu mundur lagi kaya konvensional.
 Masih jauh dengan aplikasi mobile, bank sebelah.",Positive,Tampilan
"saya suka dgn pembagian setiap penggunaan saldo saya dgn sangat baik, krn adanya pembeda pd warnanya dn bervariasi, beserta grafiknya, namun saya msih membutuhkan total saldo (saldo akhir) setiap transaksi saya agar terlihat pengihitungan menjadi lebih jelas, tolong tambahkan ya develop, terimakasihðŸ«°",Positive,Tampilan
"Overall bagus, UI/UX lebih segar dan lancar dibanding app lama, tapi saya pengguna yg sering pakai fitur tarik tunai tanpa kartu. Apakah fitur ini ditiadakan di app baru atau saya yg belum menemukan menunya?",Positive,Tampilan
"wondr by BNI ini waaaay better daripada app oren itu. tampilannya fresh and easy to use. ringan, ga lemot.",Positive,Tampilan
saran untuk kedepan jika sudah ada menu tarik dan setor tunai pakai kode transaksi atau kode billing saja kak tidak usah pakai kode otp krna terlalu ribet harus tunggu sms kode otp yang kadang sma lama bhkan tidak masuk sama sekaliðŸ™selebihnya sudah joss tampilan dan untuk penggunaan lebil simple dri apk lamaðŸ‘ðŸ‘ðŸ‘,Positive,Tampilan
"migrasi dari BNI Mobile ke Wondr sat set mudah banget. Tapi ui/ux nya biasa banget, perlu dibikin simpel lagi deh seperti sebelumnya",Positive,Tampilan
"Tampilannya cerah dan desainnya anak muda banget, lebih praktis sat set sat set, mirip livinâ€™ nya mand*r*ðŸ¤—",Positive,Tampilan
"Sip mantap keren, Aflikasi Sangat Membantu.",Positive,Tampilan
"tampilannya bgusss tp syg belum bisa top up shopeepay dll,,, jd saya trpksa dnlod lagi apk BNI mob yg lamaa",Positive,Tampilan
"Aslinya bagus banget, dari segi tampilan dan segi kemudahan, sayangnya tidak ada fitur lengkap seperti Debit Online yg ada diaplikasi Bni sebelumnya, tolong di tambahin fiturnya ya kak, terimakasihðŸ™",Positive,Tampilan
Keren tampilannya WONDR,Positive,Tampilan
"Desain aplikasinya terlalu basic, nggak ada yang spesial.",Negative,Tampilan
Tampilan aplikasinya terlalu biasa,Negative,Tampilan
Lebih suka tampilan aplikasi bni mobile yang lama,Negative,Tampilan
kurang suka pemilihan warnanya,Negative,Tampilan
"Tampilan burik, gabisa login, bad application!!! Sekiranya app masih banyak gangguan jangan dulu disuruh pindah, bikin sulit aja lu!!!",Negative,Tampilan
tampilan jelek masih bagus yg lama.,Negative,Tampilan
tampilan juga biasa aja,Negative,Tampilan
"Bagus bgt ui uxnya dan jauh lebih cepat dan easy to usw dibanding yg bni lama. Masalahnya, banyak fitur yg blom ada. Kayak pembayaran universitas, terus bayar kartu kredit bni hasanah jg ga bisa. Semoga cepat disamain fitur fiturnya",Positive,Tampilan
lebih mudah dan sangat simple dari pd versi lama,Positive,Tampilan
"Sangat amat berbeda dr yg sebelumnya!! Tampilan lebih kece, fiturnya juga lengkap bgt, ada rekap keuangan yg memudahkan kita mengontrol pengeluaran, lanjutkan BNIðŸ‘ðŸ½ðŸ‘ðŸ½",Positive,Tampilan
"Disini saya mau berbagi pengalaman menggunakan aplikasi wondr by BNI
 
 Di situs resmi BNI menyatakan bahwa wondrn memberikan berbagai macam promo yang menarik salah satunya promo untuk menonton di cinema xxi. Di situs mereka menyatakan kalau 1 akun wondrn bisa membeli 2 tiket, tetapi di lapangan 1 akun bisa beli 1 tiket dan tiket lagi 1 bisa di beli dengan cara mengantre ulang. Sementara antrean di cinema xxi di level 21 bali antrean sangat panjang dan saya sudah menunggu 2 jam untuk mengantre, dan juga pihak di cinema baru memberitahu persyaratannya tersebut di depan loket mereka tanpa memasang papan pemberitahuan yang mana ini sangat merugikan pelanggan dari wondrn. 
 
 Untuk aplikasi wondrn apabila kalian punya s&k berlaku lebih baik tulis semua di situs kalian buka s&k berubah hanya melalui whatsapp grup kalian!!",Positive,Tampilan
Lebih bagus UI nya dan bisa liat saldo efektif dg cepat. Promo awal lauch jg menarik2.,Positive,Tampilan
tampilannya lucu bgt warna warni & lebih memudahkan,Positive,Tampilan
Fitur dan Transaksinya sangat cepat. Plus tampilannya sangat keren.,Positive,Tampilan
wonde terkerenðŸ«¶ðŸ»,Positive,Tampilan
lebih mudah dan tampilan lebih oke,Positive,Tampilan
"Asli canggih bgt aplikasinya wondr by BNI ini, super cepat, ga bakalan nyesel download ini, keren keren ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»",Positive,Tampilan
Tampilan aplikasinya jadi makin keren,Positive,Tampilan
Transaksi jadi lebih satset sip banget pokoknya tampilannya jg colorfull dan user friendly,Positive,Tampilan
"Tampilan aplikasinya menarik, warna warni..dan transaksi pembelian super cepat, sangaattt easy to use",Positive,Tampilan
aplikasi nya keren banget dan lebih mudah melakukan transaksi ðŸ¤©,Positive,Tampilan
"Mudah, simple dan kerenn",Positive,Tampilan
Aplikasinya lebih simpel dan menarik,Positive,Tampilan
Penggunaan lebih muda dan tampilan lebih baik dr sebelum nya,Positive,Tampilan
"UI baru, lebih fresh! Mudah dioperasikan, dan tidak berat ketika digunakan. Minus tidak bisa capture.",Positive,Tampilan
Tampilan aplikasi yang sangat fresh dan lucu ðŸ˜ðŸ˜,Positive,Tampilan
Pokok ny keren abis lebih mudah praktis dan simpel,Positive,Tampilan
Tampilannya lucu dan transaksi harian pakai Qris lebih cepet dari app sebelah yg lebih keren ada jadwal transfernya ðŸ‘ðŸ»,Positive,Tampilan
"Lebih cepat, mudah dan tampilannya sangat bagus. Sukses selalu BNI",Positive,Tampilan
aplikasinya keren,Positive,Tampilan
Lebih keren dan gamoang transaksi nya ga pake ribet gud jood BNI ðŸ‘,Positive,Tampilan
"Tampilannya gemesss bangeet, transaksi apapun lebih mdah dan cepat juga. Wondr by BNI ter ðŸ«¶ðŸ»",Positive,Tampilan
"lebih keren, eyecatching dan milenial untuk tampilannya. fitur juga lebih oke dan lebih minimalis. 
 wondrfull ðŸ¥³ jaya terus BNI ðŸ«¡",Positive,Tampilan
"Applikasi wondr ini dri segi tampilan sangat menarik, mudah digunakan dan tentunya sangat berguna untuk perencanaan keuangan",Positive,Tampilan
"Keren bangett tampilannya fancy, lebih mudah digunakan, udh gtu qrisnya bisa tnpa login lagi jdi cepet banget, ga kaya bank sebelahðŸ«µðŸ»ðŸ”¥ðŸ”¥ðŸ”¥",Positive,Tampilan
"Mantap tambah simpel dan mudah di gunakan, mantap BNI",Positive,Tampilan
"Lebih simpel saat bertransaksi, ga banyak yg diisi enak bgt ngegunainnya ðŸ¥°",Positive,Tampilan
Baru banget cobain transaksi qris dan topup ewallet jadi super cepet n satsett KERENN BNI,Positive,Tampilan
Lebih simple dan praktis digunakan serta punya fitur melihat transaksi keuangan dan total aset yg dimiliki dengan sekali klik ..keren wondr BNI,Positive,Tampilan
"Menurutku, tampilan wondr lebih bagus dibandingkan BNI mobile banking yg lama. Semoga ke depannya fitur2 di wondr semakin komplit ya. Tks",Positive,Tampilan
"daftarin ortu,verifikasi wajah gagal terus, jadi nya limit , tiap hari di suruh besok lagi,",Negative,Autentikasi
"Mau Instal, verifikasi gagal terus,ribet susah...",Negative,Autentikasi
Verifikasi email sampai 1 jam kok gak di kirim kodenya di ulang ulang sama aja,Negative,Autentikasi
"Mau download BNI mobile banking gaboleh suruh wondr aja, Satpam suruh download wondr ku kira bisa cardless ternyata tidak, sekarang mau daftar mobile banking harus ke Bank dulu buat registrasi ID jadi males, kalau disuruh migrasi harusnya fitur juga memadai dengan apk sebelumnya ini cardless aja gabisa",Negative,Autentikasi
"Gabisa di buka, tulisannya tidak bisa mendaftar, tidak ada menu login, padahal pendaftaran sudah terpenuhi, dan sudah bisa di pakai transaksi pembelian token, tapi ketika keluar aplikasi begitu masuk daftar dari awal lagi, tidak ada menu loginnya",Negative,Autentikasi
"kedua kali saya komenn, masalahnya masih sama, andai bisa kirim ss di komentar, benerin verifikasi wajahnya, jgn dikit"" gagal, pdhl kunci wajah udh bner udh kena gembok nya, tp malah peringatan keluar ga bisa"", hadeh cape apk macam apa ini",Negative,Autentikasi
"Ngescan aja lama, gagal terus gk kebaca saat scan muka. Tolong diperbaiki masalah scan muka ngebug",Negative,Autentikasi
"gabisa login. Disuruh dekatkan wajah di depan layar, tacoba 10x gabisa anjirr. La terus harus posisi gimana coyy, padahal deteksi kek login face id, dana, bisaaaa deh GILA NI APLIKASI SERING EROR;;?!!!!;!;!!!!?!?",Negative,Autentikasi
Uda instal dan upgrade sampe ke bank..tetapi ketika mau pake selalu muncul keterangan: sesi ini sudah berakhir silahkan login ulang...pdahal saat aktivasi pertama di bank uda bisaa eh mau login lagi malah selalu muncul keterangan spt itu...g bisa login2....lebih mudah aplikasi bni mobile yang pertamaaa,Negative,Autentikasi
Overall sudah good. Tolong tambahkan fitur untuk cek saldo tanpa harus login ke aplikasi,Negative,Autentikasi
Sagat bagusnnamun ketika mau masuk privikasi wajah susah kali..,Negative,Autentikasi
"Gak recommended sekelas BNI, cardless tidak ada, login ulang setelah ganti device susah bgd pas verifikasi wajah, suruh ulang tiap hari, sering bgd error juga, menghambat aktifitasðŸ‘Ž",Negative,Autentikasi
"Tolong perbaiki, masa saat saya sedang membuat password pada akun baru, layar sya ghost touch aneh banget, aplikasi lain normal hanya ini saja yg error",Negative,Autentikasi
"login biometrik stuck di s&k doang, pdhal udh di klik ""Saya Setuju"" tapi ga muncul sidik jari nya, ribet kalo harus ngetik kata sandi tiap mau masuk",Negative,Autentikasi
Gagal login terus makin gajelas,Negative,Autentikasi
min.ini gimana si!!aku udah bikin akun loh!tapi knpa pas saya buka aplikasinya malah suruh bikin akun lagi!!!!!!dan saya gabiaa login...ayolah yang bener aja.masa harus terus teruaan bikin aiun baru!!!!!!,Negative,Autentikasi
"kenapa verifikasi ektp gagal trus, padahal udah bener ktp sama terang",Negative,Autentikasi
"Waktu di bank di suruh buat wondr by BNI sudah verifikasi akun, setelah pulang dari bank saat mau transaksi menggunakan qris mlh di suruh verifikasi akun lagi, setelah mau di verifikasi pas bagian verifikasi wajah malah tidak bisa, di suruh lanjut lagi besok, setelah besok nya saya lanjut kan mlh ttp tidak bisa, di suruh lanjut besok lagi, gitu aja terus",Negative,Autentikasi
Bagaimana caranya untuk login di hp lain karena handphone yang terdaftar hialng. Bagaimana cara nya kita untuk login di handphone terbaru dan nomor handphone terbaru untuk saat ini,Negative,Autentikasi
"Di sarankan oleh bank suruh pakai APL ini tpi pada saat verifikasi surah ulang trus dan akhirnya tidak bisa harus nunggu besoknya lagi , di coba lagi suruh munggu lagi besok, gitu aja terus sampai gajahnya menikah hadeeeh",Negative,Autentikasi
Maaf sebelumnya kenapa mau login ga bisa terus?? Dan harus pembaruan baru bisa masuk. Padahal belum sebulan udah perbaruan. Dan sering error tiba-tiba padahal sinyal masih bagus,Negative,Autentikasi
"Ribet. Tiap mw tfr, minta log in dr awal, foto ktp, nengok kanaan, kiri.. trs otomatis klwr dr apk nya.. bukan memudahkan, tp bkin ribet. Untung mbanking blm ku hapus..",Negative,Autentikasi
Eror terusvuntuk hp saya .2 hari tdk bisa login..tertulis ada kÃ¨ndala..tim kami lagi service.dan di coba lagi..,Negative,Autentikasi
"Aduh bni udh bener lama aja.. Tiba2 dipaksa ke wonder kualitas ga jelas logout sendiri,..",Negative,Autentikasi
"Aplikasi tidak berguna, mau masuk saja dipersulit padahal sudah benar nomor hp dan ktp. Tinggal verifikasi wajah tidak pernah berhasil.",Negative,Autentikasi
"Jelek banget bagusan yang dulu, dari pertama bikin ga bisa ferivikasi wajah, sampai saya ganti kamera biar jelas, tetep ga bisa,",Negative,Autentikasi
Pusiing pake wondr ribet banget lupa pasword mentok di verifikadi wajah sampai capek saya ngedipin mata eh habis waktu terus...ulangi lg foto ktp..wajah lg...kedipin mata lg...haduuuh mending pake mbanking bni,Negative,Autentikasi
Ganti hp login lagi mau masuk susah amet perasaan verfikasi wajah ya,Negative,Autentikasi
Tidak bisa login walaupun nomor aktif dan ingat password nya. Tolong cepat diperbaiki karna kami sebagai pengguna aplikasi susah jika ada keperluan mendesak yang diharuskan menggunakan bank BNIðŸ™ðŸ»ðŸ™ðŸ»,Negative,Autentikasi
Sangat sulit dalam verifikasi wajah,Negative,Autentikasi
printah verifikasi nya bobrok parah udah sih ini apk rongsokan gak usah di pakek di pertama loginnya aja kelihatan apk mungut di tempat sampah,Negative,Autentikasi
"Admin selamat mlm, sy pengguna aplikasi wonder BNI, tadi siang lancar dibuka, namun barusan saat mencoba transfer ke rek bank lain, malah error tdk dpt login, tlng dibantu admin, terimakasih",Negative,Autentikasi
"Lebih bagus yg lama, ni verifikasi wajah malah error.",Negative,Autentikasi
"Mau daftar aja susah ,mending APUS nih apk",Negative,Autentikasi
"saya kasih bintang satu dulu soalx klw mau login kadang lama pdhl jaringan internet stabil, catatan transaksi tidak secara langsung menampilkan saldo awal dan saldo akhir seperti history (riwayat transaksi) pada aplikasi BNI Mobile banking sehingga memudahkan nasabah apabila ada kekeliruan saya lebih suka pakai Bni mobile Banking..tolong di perbaiki lagi aplikasinya",Negative,Autentikasi
Kenapa wondr gangguan sih gk bsa login padahal di BNI mobile tempat istri aman aman aja. Jd susah transaksi,Negative,Autentikasi
"Bikin tambah susah! Mau login aja susah! Sok2an vermuk, tp sistem belum siap! Gk bs login, login vermuk susah! Aplikasi odong2.",Negative,Autentikasi
"Setiap tutup aplikasi, pas buka bukan halaman login tapi halaman utk pertama kali masuk akun. Tiap buka aplikasi harus foto ktp",Negative,Autentikasi
Apk nya susah buat daftar,Negative,Autentikasi
"Aplikasi gimana ini Min,Setiap mau masuk selalu error.malah mau masuk di suruh verifikasi lagi.katanya kata sandi ku salah .padahal setiap hari transaksi kata sandiku tetap itu juga.mau sampai kapan setiap mau Log in harus verifikasi terus .masuk lagi ke no hp ,foto ktp lagi ,foto selfi lagi ,Kan gilak.kita di situ mau lihat keuangan bukan mau pinjaman uang.mobile banking itu seharusnya memudahkan Min bukan malah mempersulit sistem perbankan.Tolong di perbaiki lagi sistem nya Ok.",Negative,Autentikasi
"Saya user BNI Mobile, dan terdengar kabar kalau BNI Mobile mau dihapus dan diganti Wonder. Yang jadi permasalahan dan banyak terjadi di pengguna BNI Mobile yang mau pindah ke Wonder.untuk verifikasi wajah selalu gagal dan itu bisa gagal berhari hari. Masa iya sekelas BNI bisa kala sama fitur aplikasi Pinjol. Gagal disini bukan krna data tidak sesuai tapi memang aplikasi Wonder ini tidak merespon saat melakukan verifikasi. Kalau ga sanggup melakukan perbaikan hapus saja ini aplikasi.",Negative,Autentikasi
Aplikasi keluar sendiri sesi login berakhir. Gitu aja terus. Masih lebih bagus BNI mobile yg lama,Negative,Autentikasi
"Aplikasi Bank yang paling buruk, sering error, sering minta verifikasi wajah, namun sensor wajah dari aplikasi ini sangat buruk jadinya verifikasi wajah pun gagal dan HARUS DIULANG KEESOKAN HARINYA ! Tampilan menu didalamnya ribet dan rumit. Pengalaman paling buruk menggunakan aplikasi Bank BNI ini !!",Negative,Autentikasi
"Wonder aplikasi belum siap sudah di publish ,disuruh ganti pasword sudah masukan no hp yang aktif dihp dikasi kode lewat wa ,photo ktp,kembali lagi ke awal masukan no hp,gitu - gitu saja padahal kan sudah dipakai sebelumnya karena disuruh masukan pasword baru pilih lupa pasword ya keluar hal di atas, kemudian buka rekening goal juga gak pernah berhasil",Negative,Autentikasi
"sejauh ini msh aman Krn msh transaksi yg ringan, cuma sy lihat LBH byk fiturnya BNI mobile. d wondr by BNI ini msh byk fitur2 nya yg kurang, sy smpe skrg g dpt MPN (pembayaran penerimaan negara) yg biasanya kita pakai saat pembayrn pendaftar dan perpanjangan pasport d kantor imigrasi, dll. pdhl yg BNI mobile ada, lengkap, dan g ribet. mhn segera diperbaiki wondr by BNI ini KLO mmg ke depanx akan dialihkan dri BNI mobile, hrsx aplikasi yg ini LBH mantap dri BNI mobile, ini kok malah sebaliknya ya",Negative,Autentikasi
"aplikasinya cukup bagus sebenernya tapi sering suruh verifikasi terus kalo masuk ngulangÂ² terus dari awal masukin nomor fotoin ktp jadinya ribet, tolong ya di perbaiki",Negative,Autentikasi
Mau verifikasi wajah 3 hari pun gak bisa aplikasi jancokkkk,Negative,Autentikasi
"Saya baru download karna bni mobile sdh tidak bisa digunakan untuk setor tunai, tapi saat saya sudah selesai verifikasi semua saat ingin masuk saya saya kembali ke halaman awal persetujuan dan selalu berulang seperti itu meski datanya saya hapus dn masukan ulang kembali bbrpa kali .. Sekarang saya kesulitan untuk mengakses rek bni saya secara online krn wondr bermasalah dan bni mobile sdh dibatasi untuk aktivitasnya",Negative,Autentikasi
"Saya mau aktifkan akun taplus mahasiswa, tapi kenapa gk mau nunggu fitur update, dh saldo saya isi pula di akun supaya aktif",Negative,Autentikasi
"Aplikasi gak jelas, Ferifikasi wajah selalu gagal.",Negative,Autentikasi
"Susah banget nyetor mukanya sudah beberapa hari ga berhasil,, lebih baik aplikasi yg lama,, saya mau masuk akun saya yang sudah lama di buat malah susah bangat masuknya,, harud d perbaiki lagi buat setor mukanya",Negative,Autentikasi
"Tolong solusinya, saya tidak bisa verifikasi wajah, karena terlalu banyak percobaan. Aplikasi tidak bisa melakukan verifikasi wajah",Negative,Autentikasi
Aplikasi nya jelek slalu logout sndr dan ketika mw masuk di minta buat login baru dengan upload ktp dll... Meminta otp di wa sampai 3x pengiriman tak kunjung masuk OTP nya.... Sangat buruk... Yg Ngasih Bintang â­â­â­â­â­ paling para pegawai nya saja... Sangat2 tdk memuaskan nasabaaaah,Negative,Autentikasi
Wondr by bni saya kebayakan login no men jagi gk bisa masuk gimanah yh,Negative,Autentikasi
Susah verifikasi muka ga jelas,Negative,Autentikasi
"Kebanyakan verifikasi sekali verifikasi sebenarnya sudah cukup, kenapa bolak balik harus verifikasi semakin baru malah semakin g lancar, membuat aplikasi itu seharusnya memudahkan bukan malah semakin sulit, mending mbanking BNI yang lama itu lebih bagus Tlg kalau rekrut IT itu yang sdh tahu permasalahan aplikasi, bukan dikit2 update, dikit2 perbaikan",Negative,Autentikasi
"Sering error tiba-tiba ke log out, sering error, mohon perbaikannya, padahal baru juga login",Negative,Autentikasi
sudah beberapa kali verifikasi wajah gagal terus,Negative,Autentikasi
Gagal terus verifikasi wajahnya ðŸ¥² ribet appnya waktu yang tepat beraalih ke BCA sih,Negative,Autentikasi
"Min segera update , karena aplikasinya sering keluar sendiri kadang ngehang ngelag udah unistal terus instal login lagi tetep sama, , dihp samsung a04 android 14, wondr sudah update ke versi 1.2.0 , tolong update plis update min atau hp saya ga layak pakai wondr?",Negative,Autentikasi
"Sudah hari ke 3. Pada verifikasi wajah selalu ada gangguan terus, padahal pencahayaan dan sinyal bagus. Dulu gangguan jaringan mulu, sekarang verifikasi wajah.",Negative,Autentikasi
"Setelah update kok ga bisa login , apk apaan ini bagusan mobile banking ternyata",Negative,Autentikasi
Repot sekali wonder ini bikin susah login... Malas aku sebenarnya pakai BNI wonder ini bagus dan simpel pakai BNI biasa... Mau isi token listri ja harus di wonder... Ahkkk repot...,Negative,Autentikasi
"Saat ingin login kenapa terus-menerus untuk menyetujui syarat dan ketentuan ya? Saat saya sudah setujui apk ini loading dan balik lagi memunculkan syarat dan ketentuan, mohon perbaikan nya min, saya tidak bisa login ðŸ™",Negative,Autentikasi
"Saya mau tanya, saya sudah aktifkan biometrik sidik jari untuk login, tapi setelah keluar aplikasi lalu akan masuk lagi, biometrik sidik jari tidak aktif dan muncul notif untuk mengaktifkan biometrik sidik jari dulu. Kenapa ya? Saya kasih bintang 5 supaya segera di tanggapi.",Negative,Autentikasi
"ini aplikasi lebih parah dari BNI mobile,,, mendaftar aplikasi saja di persulit, mending BNI hapus saja ini aplikasi.bisa tidak verifikasi wajah di hapus saja masa disuruh kedip kedip bikin mau aja, ratusan kali kedip tetap gak bisa",Negative,Autentikasi
"Saya dah daftar udah bisa buat transaksi,, satu waktu keluar aplikasi, kirain bisa langsung masuk,, tapi malah suruh foto KTP lagi,, gak jelas banget",Positive,Autentikasi
Aplikasi sudah punya tapi mengapa tidak bisa dibuka cuma muncul logo wondr saya tunggu sampai lama tapi tidak terbuka ini sudah sekian kali nya dulu pernah seperti ini sampai sampai saya hafus terus nginstal lagi dan daftar lagi baru bisa apa harus seperti ini daftar berulang ulang tolong dong dibenahi masa harus daftar dan download lagi,Negative,Autentikasi
kenapa saat verifikasi eajah pas kedip ga merespon,Negative,Autentikasi
"Untung aplikasi BNI Mobile ku blm ku hapus ðŸ¤¦ðŸ»â€â™€ï¸ wonder by BNI ini kayak.y belum siap pakai deh tp udah diluncurkan. Awal download raguÂ² krn ulasan.y benerÂ² buruk tp nekat download langsung daftar kemarin & aplikasi.y berfungsi dgn baik meskipun masih banyak fitur yg kurang. Hari ini pas mau login benerÂ² gak bisa, yg muncul selalu syarat & ketentuan, udah dicentang semua & udah coba berkali-kali tp tetap gak bisa login dgn keterangan ""sesi anda telah berakhir"". Tolong diperbaiki lagi ðŸ™",Negative,Autentikasi
"Masih lebih baik versi sebelumnya yang mobile. Ini banyak error logout mulu masa harus isi lagi nomor HP, mending sempurkan dulu aplikasinya sebelum di rilis",Negative,Autentikasi
Udah daftar terus aplikasinya error. Terus di uninstal lagi kan. Pas di download kembali terus mau login malah kayak daftar ulang lagi. Udah gtu pas bagian verifikasi muka gagal terus alhasil gak bisa. Mana lagi mau dibutuhkan untuk payroll,Negative,Autentikasi
"aplikasi sampah gaguna, mau tf pin nya salah padahal udah sesuai akhirnya terpaksa reset. pas udah reset mo login malah password nya yang tbtb salah pdhl bener bener semenit lalu passwordnya bs. pas passwordnya udh bs pin nya malah gabisa lagi, ini duit jadi gabisa kepake serba salah padahal bener bener udah sesuai banget udah sampe reset gada typo tp salah 1 antara password login atau pin selalu salah sampe akhirnya gbs login karna keseringan verif. uang jadi gabisa diapa apain nih. sampah",Negative,Autentikasi
Verifikasi Wajah Error,Negative,Autentikasi
Untuk otp emal saya kokdhak terkirimya,Negative,Autentikasi
"Uninstall dulu. Udah berhasil login 1 hari sebelumnya. Hari ini mau login, malah disuruh daftar lagi.",Negative,Autentikasi
"Untuk fitur login pake biometrik sidik jari diaktifkan tolong juga disediakan menu untuk login pake password, takutnya sewaktu login dengan sidik jari bermasalah masih bisa login seperti biasa dengan password.",Negative,Autentikasi
aplikasi gajelas verifikasi muka gagal terus aneh ribet harus ada vermuk ga kaya bca najis,Negative,Autentikasi
